"Translation.Start","Translation.Stop","Transcription.Start","Transcription.Stop","Synonym","Product","Dawn0-1","Dawn0-2","Dawn0-3","Dawn0","Dusk0-1","Dusk0-2","Dusk0-3","Dusk0","MidDark1-1","MidDark1-2","MidDark1-3","MidDark1","Dawn1-1","Dawn1-2","Dawn1-3","Dawn1","MidLight1-1","MidLight1-2","MidLight1-3","MidLight1","Dusk1-1","Dusk1-2","Dusk1-3","Dusk1","MidDark2-1","MidDark2-2","MidDark2-3","MidDark2","Dawn2-1","Dawn2-2","Dawn2-3","Dawn2","MidLight2-1","MidLight2-2","MidLight2-3","MidLight2","Dusk2-1","Dusk2-2","Dusk2-3","Dusk2","Dark24-1","Dark24-2","Dark24-3","Dark24","Light24-1","Light24-2","Light24-3","Light24"
68,589,NA,NA,"Npun_AF001","hypothetical protein",12402,7717,0,12,5990,6711,3679,10,7227,8628,9318,16,10922,9365,13268,21,5467,6520,8665,13,5120,6204,8743,12,9692,8845,9339,17,8137,11427,8463,17,7074,6447,11434,15,6022,4561,6968,11,8362,9105,10993,18,6607,8193,8057,14
655,1011,NA,NA,"Npun_AF002","hypothetical protein",1190,1295,0,2,708,2384,4962,7,1347,1958,1369,4,2198,2692,3936,8,1343,1388,1458,3,1187,1282,1791,3,2076,2328,3219,7,2888,3735,2354,8,2616,1978,2229,6,2218,2328,2549,6,4670,5336,3969,13,1260,3012,3367,7
1117,1557,NA,NA,"Npun_AF003","hypothetical protein",4271,5157,9123,14,1560,7841,3487,9,4845,3406,3035,8,4570,4958,5144,11,2150,4211,4571,8,2632,3813,2525,6,2440,2988,4442,7,3059,4494,4657,9,3565,4997,5697,10,3630,3307,5203,9,8817,4384,6677,15,3186,8524,9248,15
1617,1982,NA,NA,"Npun_AF004","S23 ribosomal protein",2646,747,0,3,1974,3017,3503,7,1407,3441,1772,6,677,1621,2330,4,401,1080,1088,2,1312,736,1471,3,1949,1730,1839,5,2504,1373,2855,6,923,2714,4474,7,1104,1650,2277,4,5985,3401,3186,11,2409,5587,4921,11
2006,2293,1983,2297,"Npun_AF005","hypothetical protein",4133,5329,0,10,4119,5805,6316,18,4770,4446,4288,15,3195,5355,2420,12,3085,4535,3516,12,5057,5403,4312,17,6958,9587,8067,28,6967,5639,5815,21,4254,5503,7079,19,6435,4366,6237,19,15797,10400,10851,42,5562,7578,10161,26
2298,3839,NA,NA,"Npun_AF006","hypothetical protein",12283,10809,20482,9,10289,8194,6147,5,13502,13074,12897,8,15253,13765,16378,9,7873,11309,11264,6,9877,7750,8557,5,11303,15275,13623,8,14517,13937,11911,8,10788,8605,3655,4,11938,12907,12143,7,18235,15978,18523,11,12736,9756,13268,7
4222,4527,NA,NA,"Npun_AF007","hypothetical protein",1394,758,5061,7,1221,1035,455,2,384,1409,1428,3,1273,1493,839,3,1033,1296,1038,3,1757,662,1300,4,2029,2122,890,5,1655,731,1065,3,739,684,0,1,1560,1356,1302,4,1840,705,3079,6,974,2063,2465,5
4756,6102,NA,NA,"Npun_AF008","transposase, IS4 family protein",25434,39397,23572,21,11268,19277,19411,12,23041,18402,18798,14,21768,18093,17676,14,5772,5724,8446,4,8367,7329,7078,5,12638,15265,14221,10,11593,17018,18969,11,6050,6647,12804,6,7179,4748,8634,5,20303,18632,20302,14,8882,18321,8247,8
6639,8024,NA,NA,"Npun_AF009","MATE efflux family protein",11812,6672,4502,5,10460,5526,11340,6,9255,8884,9160,6,5729,6330,5350,4,4877,3159,4823,3,5027,5483,4105,3,6275,6659,5964,4,7966,7209,7204,5,3801,4392,611,2,6050,7104,6047,4,11053,8265,10530,7,3652,5368,4734,3
8306,9058,NA,NA,"Npun_AF010","ABC transporter related",10083,17534,8769,16,12848,13482,18545,19,11691,16813,13366,18,11738,12799,9920,15,9949,11409,13019,15,14434,12375,11550,16,12684,12434,14894,17,14485,11624,15196,18,8986,11200,8985,12,15931,12469,11684,17,18511,15795,11706,20,10462,10660,11750,14
