"Translation.Start","Translation.Stop","Transcription.Start","Transcription.Stop","Synonym","Product","Dawn0-1","Dawn0-2","Dawn0-3","Dawn0","Dusk0-1","Dusk0-2","Dusk0-3","Dusk0","MidDark1-1","MidDark1-2","MidDark1-3","MidDark1","Dawn1-1","Dawn1-2","Dawn1-3","Dawn1","MidLight1-1","MidLight1-2","MidLight1-3","MidLight1","Dusk1-1","Dusk1-2","Dusk1-3","Dusk1","MidDark2-1","MidDark2-2","MidDark2-3","MidDark2","Dawn2-1","Dawn2-2","Dawn2-3","Dawn2","MidLight2-1","MidLight2-2","MidLight2-3","MidLight2","Dusk2-1","Dusk2-2","Dusk2-3","Dusk2","Dark24-1","Dark24-2","Dark24-3","Dark24","Light24-1","Light24-2","Light24-3","Light24"
589,1452,NA,NA,"Npun_BF001","cobyrinic acid a,c-diamide synthase",8576,5124,6327,7,8768,8657,11796,11,7321,5973,5527,7,4410,2988,5642,5,7829,7299,5033,7,6838,6578,7022,7,6628,6143,3663,6,6029,6697,5569,7,5372,5606,491,4,10196,9322,9611,11,3568,5292,5115,5,7201,5404,6520,7
1454,2578,NA,NA,"Npun_BF002","parB-like partition protein",19383,13698,15744,14,15758,21860,24328,18,17611,10239,11488,11,8803,11686,10423,9,11643,12643,13185,11,12710,12581,16459,12,8003,10846,12030,9,11386,12745,13110,11,8692,11359,7846,8,13445,14496,19070,13,11389,11367,8261,9,13681,12596,14871,12
2870,2586,NA,NA,"Npun_BR003","hypothetical protein",616,1177,0,2,2292,1120,1220,5,1670,143,392,2,325,715,819,2,277,681,903,2,662,645,684,2,556,302,934,2,582,691,724,2,221,258,1142,1,828,763,1100,3,770,783,415,2,352,701,877,2
3100,4050,3100,4050,"Npun_BF004","RpoD family RNA polymerase sigma factor",20603,30320,34078,29,27150,43692,42158,39,19362,20266,17337,19,23236,21190,25746,24,20397,23578,28006,25,31366,31197,33164,33,25066,25665,33618,29,25942,26108,29877,28,25497,36595,38178,35,33934,39196,45170,41,37786,32657,27936,34,30507,46319,50561,44
4064,4369,4051,4428,"Npun_BF005","HNH endonuclease",9313,12480,9005,33,11499,14627,23941,54,14369,6301,7309,30,6918,7206,11262,27,10323,8863,11218,33,11990,11889,10550,37,6821,9705,10520,29,10550,8110,12565,34,7453,11390,16172,38,14411,13537,19466,51,8968,13808,9849,35,10940,18191,18698,52
6007,4799,6077,4799,"Npun_BR006","hypothetical protein",52882,49676,37522,38,54491,91451,93227,65,59416,36799,38565,37,43195,46340,40938,35,38334,40598,42879,33,37792,35837,38061,30,41103,36167,45223,33,48521,47831,56707,42,30163,44548,46935,33,45349,51640,54890,41,48175,47056,41712,37,48350,59757,69010,48
10289,6078,10412,6078,"Npun_BR007","SNF2-related protein",56273,57306,60005,13,94809,115881,95783,24,52646,46862,48175,11,45725,50705,55708,12,60129,67903,73834,15,58277,58038,62795,14,50762,56849,63886,13,53075,49715,59442,12,64702,76077,101622,19,68897,70236,83097,17,67361,72504,56746,15,70645,100932,110696,22
12223,12555,NA,NA,"Npun_BF010","hypothetical protein",1494,1083,5032,7,1206,139,1868,3,870,956,767,2,647,1423,934,3,864,1345,925,3,657,2162,1615,4,1291,610,946,2,1099,1555,532,3,616,688,0,1,2438,1459,1929,5,1240,1291,1407,3,1321,657,714,2
13053,12745,NA,NA,"Npun_BR011","hypothetical protein",2021,1927,10447,15,616,1822,1474,4,1421,2371,1460,5,1099,1765,1550,4,876,759,1136,2,1329,1743,1348,4,1150,1148,1387,3,2044,2451,2455,7,854,950,1118,3,1857,1294,1517,5,2236,1436,2061,6,2335,518,1214,4
14926,13385,NA,NA,"Npun_BR012","hypothetical protein",14187,11714,4502,6,17123,16190,20059,11,17799,15467,18014,11,13407,15699,20541,10,15195,18761,18311,11,23428,24279,22661,15,16415,21000,17087,11,22690,16834,20806,13,18024,21043,10838,10,26748,28319,29158,18,16756,21177,21041,12,26993,25289,27249,17
