"Translation.Start","Translation.Stop","Transcription.Start","Transcription.Stop","Synonym","Product","Dawn0-1","Dawn0-2","Dawn0-3","Dawn0","Dusk0-1","Dusk0-2","Dusk0-3","Dusk0","MidDark1-1","MidDark1-2","MidDark1-3","MidDark1","Dawn1-1","Dawn1-2","Dawn1-3","Dawn1","MidLight1-1","MidLight1-2","MidLight1-3","MidLight1","Dusk1-1","Dusk1-2","Dusk1-3","Dusk1","MidDark2-1","MidDark2-2","MidDark2-3","MidDark2","Dawn2-1","Dawn2-2","Dawn2-3","Dawn2","MidLight2-1","MidLight2-2","MidLight2-3","MidLight2","Dusk2-1","Dusk2-2","Dusk2-3","Dusk2","Dark24-1","Dark24-2","Dark24-3","Dark24","Light24-1","Light24-2","Light24-3","Light24"
8615,1128,8828,441,"Npun_DR001","hemolysin-type calcium-binding region",127611,131269,105709,16,217657,233944,307234,33,108726,122774,105195,14,86435,109344,99987,13,223643,189082,187952,26,175346,211652,181324,25,128200,120903,124989,16,100742,117460,108637,14,175167,197193,204822,25,231324,273043,338414,37,136615,114485,134060,17,188311,208003,240577,28
8829,12377,NA,NA,"Npun_DF002","WD-40 repeat-containing protein",24687,25360,21659,6,42379,56327,51141,14,28768,32408,25505,8,17282,24563,19192,5,31310,36955,39301,10,33567,39791,37629,10,26122,24550,25779,7,23220,25337,25666,6,26162,28289,32445,8,40028,36741,36362,10,24649,27391,27001,7,29981,28721,34963,8
12546,13310,NA,NA,"Npun_DF003","hypothetical protein",4466,4020,19658,12,5465,3977,4616,6,7139,4562,5268,7,5128,5874,4367,6,5587,5432,4772,6,5869,6989,7829,9,6931,4690,6696,7,5715,6282,5252,7,4917,5449,9536,8,5741,5888,5914,7,5182,5049,5268,6,4169,4270,5595,6
13750,14244,NA,NA,"Npun_DF004","hypothetical protein",10967,12661,0,15,6707,17524,14264,25,11560,10283,10398,21,4869,8884,10842,16,6407,5383,5249,11,6455,7885,7184,14,10538,11016,9857,21,12288,13677,12812,26,5815,4094,6312,10,6863,6995,11367,16,19063,12406,10925,28,4901,5743,8430,12
14241,14783,NA,14833,"Npun_DF005","hypothetical protein",19717,33722,48234,62,9330,30230,29424,42,21105,20864,14171,34,14663,20823,33349,42,7160,7647,9795,15,8101,11101,11039,18,25493,18746,26763,43,17607,31615,39569,54,11325,14299,18122,26,14824,13755,20095,29,65915,44111,30378,86,9187,24504,17621,31
15349,14834,15349,14834,"Npun_DR006","hypothetical protein",6259,7261,9240,14,2101,1503,3467,4,3733,3480,3963,7,3394,4362,5210,8,2441,3046,3209,5,3072,2730,2313,5,4832,5269,5536,10,5062,7164,8170,13,2873,2775,2548,5,2466,2436,4341,5,17780,12690,10385,26,1709,4324,3229,5
16376,15384,16427,15350,"Npun_DR007","integrase-recombinase protein",56445,48992,36021,47,27237,27959,24598,26,48687,56465,49708,51,51055,56333,60147,56,30917,34241,35975,33,35350,36056,32933,35,51289,51464,46918,50,55026,68057,51636,58,20858,20738,20343,20,38924,34814,37049,37,48149,43856,69920,54,22129,17854,23197,21
16963,16502,17114,16428,"Npun_DR008","hypothetical protein",25482,29344,41936,69,11308,19456,15009,33,31229,27273,26924,61,30067,34694,27491,66,9396,11043,10678,22,12162,12243,11633,26,20678,24287,26470,51,26110,31495,31791,64,8217,10341,3679,16,16731,14652,15283,33,29338,26459,28161,60,10674,9362,11420,22
17633,17911,NA,NA,"Npun_DF009","hypothetical protein",7271,3881,4473,18,2782,6432,4330,16,3550,3748,3303,12,3831,5985,4998,17,1929,2304,3195,8,2374,3164,3375,10,4158,1673,2978,10,3028,5624,4158,15,2038,1836,0,4,2586,2544,3340,10,3412,3651,7178,17,1679,1837,2907,7
18056,18385,NA,NA,"Npun_DF010","hypothetical protein",3515,5489,3413,12,1536,3709,4844,10,3602,4230,2186,10,2039,2907,3177,8,1000,1885,2059,4,1466,2230,2000,5,2144,3084,4026,9,3806,5845,3913,13,799,1244,1274,3,1273,2426,2444,6,5412,2753,4793,13,1555,2833,3316,7
18409,19083,18386,19338,"Npun_DF011","hypothetical protein",37373,35144,40612,55,22632,28397,22277,36,32292,30787,27330,44,37486,35618,28719,50,19891,21611,22914,31,15379,14721,11325,20,23910,22399,26408,35,27056,37842,28050,45,14726,12315,18118,22,21603,17480,17767,28,35769,30506,42256,53,13183,16973,18537,24
19636,19785,NA,NA,"Npun_DF012","hypothetical protein",2100,2288,0,9,1102,970,914,6,1272,887,975,6,701,599,1117,5,796,482,460,3,471,640,757,4,1641,1084,899,8,842,1597,1711,9,242,423,283,2,765,656,1046,5,1985,1974,2778,14,370,1871,2322,10
19788,20201,NA,NA,"Npun_DF013","hypothetical protein",11845,6807,0,15,5389,2215,4629,9,5131,7554,5977,15,4881,4596,3448,10,3349,3915,3205,8,2928,3156,2147,6,4235,3459,3222,8,5452,6952,4672,13,2313,2052,91,3,2251,2355,2747,5,5231,4909,8689,15,1793,1223,2873,4
21642,20326,21695,20326,"Npun_DR014","hypothetical protein",13139,11802,0,6,8991,9479,6228,6,10179,8640,8792,6,11159,9435,9459,7,13860,12851,12982,10,8665,7294,5306,5,8542,12898,11031,8,19070,13689,13185,11,16457,41354,18290,19,9883,8313,12493,7,13765,10808,13076,9,62994,75306,41895,45
22248,21760,NA,NA,"Npun_DR015","hypothetical protein",9320,7407,9064,17,5560,10823,12519,19,4166,4813,4594,9,5618,7518,6241,13,7316,11286,10108,19,3768,6453,5410,10,5332,5045,5283,10,6004,11667,8941,18,5153,6472,3575,10,6775,6113,6777,13,6968,7027,11245,17,5483,6698,6676,12
22344,22643,22344,22643,"Npun_DF016","HNH endonuclease",28215,26449,18834,81,22660,24868,25087,80,19806,27193,23001,77,27548,32324,26026,95,32239,40658,42547,128,28878,23291,21165,81,27397,25595,28055,90,33242,44407,34514,124,31760,26386,11566,77,29181,27291,27214,92,26472,30324,41170,108,24366,13536,24349,69
23457,23044,23457,22690,"Npun_DR017","hypothetical protein",49506,60361,80311,153,55757,70053,80744,166,47562,49076,35577,106,29410,41901,29749,81,39721,49893,43422,107,36575,37899,33548,86,39940,34805,37772,90,42186,43279,47674,107,34112,34968,44910,91,40347,38617,49395,103,52246,48956,40916,114,33121,59885,65406,127
25568,23745,NA,NA,"Npun_DR018","hypothetical protein",4852,1711,0,1,3669,6034,2640,2,2692,4732,2469,1,4427,4231,4083,2,3034,3160,3588,1,3331,2677,3652,1,2521,3895,2541,1,4390,3045,4198,2,2182,2070,4302,1,2827,2609,3451,1,4127,3458,3565,2,2324,1916,2768,1
