"Translation.Start","Translation.Stop","Transcription.Start","Transcription.Stop","Synonym","Product","Dawn0-1","Dawn0-2","Dawn0-3","Dawn0","Dusk0-1","Dusk0-2","Dusk0-3","Dusk0","MidDark1-1","MidDark1-2","MidDark1-3","MidDark1","Dawn1-1","Dawn1-2","Dawn1-3","Dawn1","MidLight1-1","MidLight1-2","MidLight1-3","MidLight1","Dusk1-1","Dusk1-2","Dusk1-3","Dusk1","MidDark2-1","MidDark2-2","MidDark2-3","MidDark2","Dawn2-1","Dawn2-2","Dawn2-3","Dawn2","MidLight2-1","MidLight2-2","MidLight2-3","MidLight2","Dusk2-1","Dusk2-2","Dusk2-3","Dusk2","Dark24-1","Dark24-2","Dark24-3","Dark24","Light24-1","Light24-2","Light24-3","Light24"
1662,1249,1664,346,"Npun_ER001","hypothetical protein",18895,19974,765,31,10329,12112,11395,27,15346,15315,16066,37,19809,21458,16885,46,14791,15572,18343,39,14214,12141,14801,33,21853,34051,24071,64,33670,27785,30278,73,13286,20306,16016,39,20332,17278,22062,48,27290,37640,23589,71,23274,18669,15379,46
2210,1857,NA,NA,"Npun_ER002","hypothetical protein",2752,1687,13566,16,728,3450,810,4,2830,2906,2914,8,3156,3235,2127,8,2546,1354,1873,5,1668,1612,2408,5,1945,2844,2348,6,2498,2726,2575,7,2456,2840,3435,8,1916,2211,1677,5,2994,2061,2073,6,3727,3362,2420,8
2531,2977,2524,2977,"Npun_EF003","response regulator receiver protein",162951,268405,121100,411,53656,28134,28082,81,148649,237636,239787,466,322826,313772,432600,797,82331,61913,69405,159,104636,96951,116313,237,235580,179874,205432,463,307075,289347,247811,629,119976,105493,76252,224,78954,82791,71655,174,152443,147432,246015,407,99597,49111,60379,155
3541,3068,3541,2978,"Npun_ER004","response regulator receiver protein",58254,52419,12507,86,22779,23205,14684,42,31410,50378,48111,91,54010,69018,42420,116,18433,19897,13045,36,22469,22726,23061,48,34314,28964,32399,67,51371,54901,34109,98,19045,15947,12173,33,22442,22170,22677,47,22861,22704,28175,51,15237,15763,16349,33
6657,4018,NA,3542,"Npun_ER005","relaxase/mobilization nuclease family protein",11894,17022,7769,4,34386,51772,51766,17,19433,16055,17656,6,13671,16515,11289,5,27714,28509,32381,11,28134,30252,30714,11,18796,21381,22571,7,13986,16008,19555,6,34302,47237,40459,15,40169,42013,48811,16,32082,25515,23729,10,38526,55444,64379,19
7087,6641,7535,NA,"Npun_ER006","hypothetical protein",4254,4507,941,7,10890,17260,17884,34,10430,7987,6819,18,4624,6568,4570,11,16932,18551,17469,39,15861,15728,15089,34,8145,9511,10913,21,6591,6656,6528,14,16862,19449,13088,36,21484,19231,24676,48,11368,10004,8851,22,16121,23889,28121,50
7639,8133,7639,NA,"Npun_EF007","hypothetical protein",7115,4832,5267,11,12832,13716,15449,28,3752,7391,6865,12,5794,6676,4487,11,23060,20771,17330,41,16507,14440,14040,30,9557,7638,7657,16,5040,4768,5037,9,15541,15685,12433,29,17692,18066,17495,35,7862,7476,6744,14,14130,28582,31662,50
8130,8951,NA,NA,"Npun_EF008","hypothetical protein",13779,16378,27810,23,39171,82022,59362,73,32742,32321,25265,36,20605,22860,16495,24,63688,70844,59188,78,51164,54889,49488,63,34783,32944,37272,42,23442,27236,26686,31,60775,70889,83156,87,61417,74920,69835,83,39303,37214,28039,42,61265,83143,103848,100
8935,9678,NA,9678,"Npun_EF009","hypothetical protein",17542,36499,43584,43,68801,144757,127942,153,59872,42050,36766,62,36724,40429,29140,47,87017,90813,79995,115,82978,80080,81344,109,59369,55075,68628,82,33169,43051,45737,54,107541,120220,128042,159,97661,114020,127287,151,67390,62490,43340,77,96257,120697,152136,165
9950,9744,10001,9679,"Npun_ER010","hypothetical protein",2899,2586,4532,16,5086,7726,9129,35,3471,3721,2800,16,3202,4260,3706,17,5380,6629,5613,28,8022,4974,5440,29,4935,4153,6826,25,4653,3455,3288,18,4343,6485,1929,20,6210,6154,6247,29,6136,4784,2925,22,6370,7069,10075,37
10226,10002,NA,NA,"Npun_ER011","hypothetical protein",474,1354,0,2,3196,3206,3226,14,1405,2061,1857,7,1457,977,2167,6,1743,2455,2184,9,1727,1502,1605,7,1318,1862,1709,7,1984,1310,954,6,1694,1677,1733,7,2978,2590,2507,11,2615,1152,1605,7,2175,2966,3282,12
12223,10424,NA,NA,"Npun_ER012","hypothetical protein",2040,2296,4561,1,1556,2325,2676,1,5060,2586,2256,1,3438,3607,4972,2,2242,2626,1656,1,1973,2854,2119,1,2910,3352,3846,1,2882,2186,3821,1,2602,2944,2009,1,1467,2900,2239,1,3150,2822,4605,1,2693,1969,2312,1
